,id,text,date,attachments.link.url,attachments.link.title,comments.count,reposts.count,views.count
193,23486699,"«Русофобский подход». Путин – о санкциях в связи с делом Скрипалей
https://ria.ru/20181220/1548318547.html",1545306318,,,84,8,72090
194,23486506,"Киев считает жителей Донбасса своими гражданами, но установил их полную блокаду и стреляет по ним, заявил Путин
https://ria.ru/20181220/1548315549.html",1545305350,,,100,25,68542
195,23486317,Текстовый онлайн-репортаж: https://ria.ru/20181220/1548305038.html,1545304581,https://ria.ru/20181220/1548323472.html,"Путин заявил, что когда-нибудь как порядочный человек должен будет жениться",84,8,64132
196,23486163,"В мире наблюдается развал системы контроля над вооружениями, заявил Путин. И напомнил о выходе США из договора по ПРО. После этого Москве пришлось модернизировать свои вооружения. В результате Россия получила преимущество, однако речь идет о сохранении паритета. Теперь США выходят из ДРСМД. «Пусть потом не пищат, что мы добиваемся своих преимуществ», – добавил президент
https://ria.ru/20181220/1548314381.html",1545304028,,,59,8,66575
197,23485884,Текстовый онлайн-репортаж: https://ria.ru/20181220/1548305038.html,1545303003,https://ria.ru/20181220/1548320691.html,Путин: реставрация социализма в России невозможна,232,14,62381
198,23485703,Текстовый онлайн-репортаж большой пресс-конференции Владимира Путина: https://ria.ru/20181220/1548305038.html,1545302444,https://ria.ru/20181220/1548320530.html,В России до 2024 года построят порядка 200 мусороперерабатывающих заводов,129,6,63878
199,23485501,Текстовый онлайн-репортаж: https://ria.ru/20181220/1548305038.html,1545301886,https://ria.ru/20181220/1548319207.html,"Путин заявил, что санкции против России связаны с ростом ее могущества",167,21,65412
200,23485393,Текстовый онлайн-репортаж: https://ria.ru/20181220/1548305038.html,1545301447,https://ria.ru/20181220/1548318639.html,Поправки в закон для упрощения получения гражданства РФ примут в 2019 году,35,3,56072
201,23485318,Текстовый онлайн-репортаж: https://ria.ru/20181220/1548305038.html,1545301167,https://ria.ru/20181220/1548318300.html,Путин о Бутиной: никаких заданий государства она не выполняла,49,7,57260
202,23485091,Текстовый онлайн-репортаж: https://ria.ru/20181220/1548305038.html,1545300192,https://ria.ru/20181220/1548316830.html,Путин прокомментировал ситуацию вокруг ответственности в интернете,74,4,57190
203,23484994,"Президент прокомментировал ситуацию в Донбассе. 
Текстовый онлайн-репортаж: https://ria.ru/20181220/1548305038.html",1545299792,https://ria.ru/20181220/1548315764.html,"Россия продолжит помогать Донбассу, заявил Путин",191,8,57683
204,23484866,Текстовый онлайн-репортаж: https://ria.ru/20181220/1548305038.html,1545299342,https://ria.ru/20181220/1548314381.html,"В мире наблюдается развал системы контроля над вооружениями, заявил Путин",41,3,54893
205,23484765,Текстовый онлайн-репортаж: https://ria.ru/20181220/1548305038.html,1545298939,https://ria.ru/20181220/1548313676.html,"Путин рассчитывает, что повышение НДС станет разовым",96,7,57259
206,23484653,Текстовый онлайн-репортаж: https://ria.ru/20181220/1548305038.html,1545298423,https://ria.ru/20181220/1548312174.html,Путин прокомментировал оценки Кудрина темпов экономического роста России,136,4,58078
207,23484183,"#ПРЯМАЯТРАНСЛЯЦИЯ
Большая пресс-конференции Владимира Путина: https://ria.ru/20181220/1548305038.html",1545295705,,,542,102,104005
208,23484073,"#РИАрхив 
20 декабря 1935 года в Москве открылась гостиница ""Москва"".",1545294989,,,22,10,62266
209,23483929,,1545294180,,,72,17,67812
210,23483900,,1545294021,https://ria.ru/20181220/1548302729.html,В Уфе спасатели вызволили замерзшую собаку из металлической емкости,24,13,59993
211,23483710,"Свердловский областной суд поставил точку в громком деле сотрудника уголовного розыска Александра Зубовича, обвинявшегося в превышении должностных полномочий и причинении тяжкого вреда здоровью. Расследование и судебные разбирательства длились более пяти лет, из них полтора года оперативник провел в колонии строгого режима. В итоге приговор отменили, а Зубовича вернули на службу. О том, как полицейский стал жертвой ложных показаний и почему этот случай можно считать уникальным, — в материале Ria.ru.",1545292997,https://ria.ru/20181220/1548278974.html,Как опер трижды отсидел за чужое преступление,44,9,58114
212,23483453,,1545291760,https://ria.ru/20181220/1548302463.html,"Ъ пишет, что водителей захотели проверять на знание ПДД при замене прав",113,4,59174
213,23483315,"Уже больше месяца жильцы многоквартирного дома в Керчи сидят без отопления. Одну из квартир здесь занимает 93-летняя участница Великой Отечественной войны, другую — семья с маленькими детьми. Все произошло после того, как под принадлежащей экс-мэру города Осадчему квартирой на первом этаже прорвало трубу. Бывший украинский чиновник отказывается предоставить доступ к общим коммуникациям — у него автономное отопление. В итоге коммунальщики просто перекрыли трубы во всем доме. 
Прокуратура, управляющая компания и администрация города разводят руками и предлагают провести альтернативную систему отопления — протянуть трубу с кипятком вдоль стен прямо над головами жильцов.",1545290866,https://ria.ru/20181220/1548285381.html,Бывший украинский чиновник оставил без отопления соседей по дому в Крыму,105,13,60288
214,23483080,,1545289740,https://ria.ru/20181220/1548300237.html,"В Чите ликвидировали свалку, на которую жаловались Путину",117,5,61686
215,23482872,,1545288666,https://ria.ru/20181219/1548291378.html,"В Калининграде появится туристический маршрут, разработанный блогерами",52,4,58871
216,23482616,,1545287408,https://ria.ru/20181220/1548298951.html,Кожемяко официально вступил в должность губернатора Приморья,79,4,61134
